parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number_EOL,activity_EOL_Bq,is_stable,decay_constant,half_life,half_life_seconds
Na24,Na24,1e-09,Na24,Na24,242455562684.81085,3120703.806813656,False,1.2871240289382558e-05,14.96 小时,53852.4
Na24,Na24,1e-09,Mg24,Mg-24,2453872437315.189,0.0,True,0.0,稳定,inf
Li7,Li7,1.62e-08,Li7,Li7,43680513600000.0,0.0,True,0.0,稳定,inf
Be9,Be9,8.12e-09,Be9,Be9,21894183359999.996,0.0,True,0.0,稳定,inf
Ar44,Ar44,8.12e-09,Ar44,Ar44,26037034390.61915,25340489.999999996,False,0.0009732479367592605,11.87 分钟,712.1999999999999
Ar44,Ar44,8.12e-09,K44,K-44,48542508093.04143,25340489.999999993,False,0.0005220267966259567,22.13 分钟,1327.8
Ar44,Ar44,8.12e-09,Ca44,Ca-44,21819603817516.336,0.0,True,0.0,稳定,inf
K45,K45,4.06e-09,K45,K45,18973913014.22541,12670244.999999998,False,0.000667771850250429,17.30 分钟,1038.0
K45,K45,4.06e-09,Ca45,Ca-45,10698954393882.078,527649.5695286016,False,4.931786323253461e-08,162.67 天,14054687.999999998
K45,K45,4.06e-09,Sc45,Sc-45,229163373103.6969,0.0,True,0.0,稳定,inf
K46,K46,4.06e-09,K46,K46,1919326460.976559,12670244.999999998,False,0.006601401719618527,1.75 分钟,105.0
K46,K46,4.06e-09,Ca46,Ca-46,10945172353539.021,0.0,True,0.0,稳定,inf
Ca46,Ca46,1.22e-08,Ca46,Ca46,32895201600000.0,0.0,True,0.0,稳定,inf
Ca47,Ca47,4.06e-09,Ca47,Ca47,5609672462973.874,9921473.509187572,False,1.7686368633237223e-06,4.54 天,391910.39999999997
Ca47,Ca47,4.06e-09,Sc47,Sc-47,2787919118264.317,6678067.52515692,False,2.3953591341324507e-06,3.35 天,289370.88
Ca47,Ca47,4.06e-09,Ti47,Ti-47,2549500098761.809,0.0,True,0.0,稳定,inf
Sc48,Sc48,4.06e-09,Sc48,Sc48,2810037558771.4185,12389446.169058088,False,4.408996645039471e-06,1.82 天,157212.0
Sc48,Sc48,4.06e-09,Ti48,Ti-48,8137054121228.58,0.0,True,0.0,稳定,inf
Sc49,Sc49,8.12e-09,Sc49,Sc49,125469112648.98192,25340489.999999996,False,0.00020196596170161577,57.20 分钟,3432.0
Sc49,Sc49,8.12e-09,Ti49,Ti-49,21768714247351.016,0.0,True,0.0,稳定,inf
Sc50,Sc50,8.12e-09,Sc50,Sc50,3747256423.8113775,25340489.999999996,False,0.006762411517658003,1.71 分钟,102.5
Sc50,Sc50,8.12e-09,Ti50,Ti-50,21890436103576.184,0.0,True,0.0,稳定,inf
Ti44,Ti44,8.12e-09,Ti44,Ti44,21890721207220.727,8013.820086459261,False,3.660829632152949e-10,60.04 年,1893415564.8000002
Ti44,Ti44,8.12e-09,Sc44,Sc-44,161294220.18806,7822.602432407556,False,4.849896309543418e-05,3.97 小时,14292.0
Ti44,Ti44,8.12e-09,Ca44,Ca-44,3300858540.675916,0.0,True,0.0,稳定,inf
Ti50,Ti50,4.06e-09,Ti50,Ti50,10947091679999.998,0.0,True,0.0,稳定,inf
Ti51,Ti51,2.03e-08,Ti51,Ti51,31586629757.785656,63351225.0,False,0.0020056342030091013,5.76 分钟,345.59999999999997
Ti51,Ti51,2.03e-08,V51,V-51,54703871770242.21,0.0,True,0.0,稳定,inf
Ti52,Ti52,4.47e-08,Ti52,Ti52,20527743528.445988,139497525.0,False,0.006795560593724954,1.70 分钟,102.0
Ti52,Ti52,4.47e-08,V52,V-52,45197261192.33726,139497525.0,False,0.003086415444651996,3.74 分钟,224.57999999999998
Ti52,Ti52,4.47e-08,Cr52,Cr-52,120460136595279.22,0.0,True,0.0,稳定,inf
V47,V47,1.62e-08,V47,V47,142664981079.65384,50556149.99999999,False,0.00035436972421265094,32.60 分钟,1956.0
V47,V47,1.62e-08,Ti47,Ti-47,43537848618920.34,0.0,True,0.0,稳定,inf
V50,V50,4.06e-09,V50,V50,0.0,0.0,False,1.4643318528611795e-25,150099534246575360.00 年,4.7335389120000005e+24
V50,V50,4.06e-09,Ti50,Ti-50,9086086094400.0,0.0,True,0.0,稳定,inf
